time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/10/4,194.5253402,22.19933372,253.2725875,,,127.9193585,123.1238037,104.6831899,59.88804178,,266.5212257,80.36091478,112.0765279,153.3815257,86.75658907,56.57174306,243.7462003,143.1779979,,126.2831534,50.2587979,58.10947159,,,219.1916456,161.4735743,442.3531755,37.7534372,,146.5465435,437.7079103,,35.21727944,71.85365656,151.7668976,122.857727,17.26390994,15.53983613,
2022/10/5,173.6939983,63.55160159,304.2936719,,,135.6720458,130.617321,106.0728176,40.6814415,,91.32499426,233.291716,,179.5876802,163.642131,201.6157052,332.1445407,221.7623994,,,137.72726,181.2745592,,,335.0702908,144.9169026,772.8617265,121.3914654,,598.6320036,292.669707,,94.96376532,150.2364785,154.9087775,124.7635565,12.52181333,15.19744971,
2022/10/6,204.9243539,248.7505092,192.8824438,,,153.8382502,151.3115225,121.2397014,49.33176974,,138.2050476,221.87837,,273.9659408,227.6015023,470.6947137,233.2101009,246.0579965,,163.6793803,261.7117266,462.819315,,,204.5472832,179.416849,626.4178354,268.3864995,,200.4789471,227.2173873,,226.4990955,360.7723974,172.1215701,138.8970173,16.37129581,15.18042659,
2022/10/7,360.1185829,278.5263791,180.0648543,,,259.5160249,255.1190406,224.1825076,56.34097141,,588.5519766,205.8970306,,308.472406,424.0969962,417.9353822,135.4423076,228.5368392,,157.3186603,304.4439644,549.3382055,,,196.4832792,386.938272,189.0352378,151.4554555,,176.9692283,181.6599435,,217.4895335,390.7830556,173.3068082,144.8210059,17.69951165,15.14942516,
2022/10/8,265.5125344,239.9940033,95.77126941,,,184.8058228,192.4408924,146.9951925,76.06688149,,395.487615,164.8119728,,284.1891155,380.0349154,330.7138783,102.880295,360.9492507,,173.3899636,399.1845982,518.2943217,,,86.33056238,244.7389431,129.7852861,119.1590629,,114.4285046,126.8233093,,204.5136969,306.7488425,144.2334321,113.1201286,18.59408893,15.22617113,
2022/10/9,216.9917963,216.7581569,117.7654336,,,152.9309992,152.7914843,127.054208,42.79295252,,357.9566307,229.8617073,,199.4553645,135.7120226,388.1571691,198.9908164,402.2131468,,121.9888682,212.6949782,274.5612657,,,127.8946538,205.1265256,454.4150278,302.6674122,,110.197976,148.4962545,,188.4913846,190.087685,138.9650156,111.9076453,16.96545644,15.39718469,
2022/10/10,167.3176534,83.70539225,161.8993254,,,116.344781,116.9984987,82.96890841,29.25166879,,229.1585182,157.3778736,,181.8796895,175.0139954,396.7498486,66.05613726,220.2979694,,1236.782194,93.4523343,162.3610164,,,172.5579851,124.7127186,65.84727767,134.6168738,,198.2227693,174.9342256,,107.6528234,120.4069556,106.6310272,70.2261738,17.88170235,14.9667381,
2022/10/11,244.8368755,160.9975929,168.6133672,,,170.0110305,169.1781137,134.4985375,31.65445559,,449.4164235,209.7222383,,262.3754647,218.6817891,369.6345405,74.07692138,183.3953915,,328.5346508,113.1278306,165.2591229,,,138.9975833,209.9706812,165.9189277,99.0279069,,183.1090556,151.7605926,,144.6617083,185.2273365,131.5144822,81.67093073,17.66663755,14.95154341,
2022/10/12,303.5764796,137.7971802,202.0450614,,,220.7305936,216.1194128,179.3276722,50.25986748,,230.7141017,200.4088109,,256.8492577,187.3845395,354.8128095,82.81146994,164.972682,,130.1784713,99.57410128,150.2433206,222.839714,,149.4297154,300.7039418,158.4978669,87.32957817,,160.7769107,141.2837056,,96.38949764,184.060013,110.7932966,71.37473846,17.99009204,15.10434496,
2022/10/13,,119.8686499,183.4375055,,,,,,,,717.1585832,157.2968073,,166.8905254,129.7507736,229.045072,107.4090631,117.0777231,,111.6506986,80.28167053,129.9677261,119.7139998,,158.3689716,,146.34132,89.85877801,,155.6811476,200.2310353,,85.34701295,131.5716281,104.1204501,66.68428881,18.63249244,,
2022/10/14,,171.053703,187.7632714,,,,,,,,1098.578713,226.5414533,,200.5572529,193.5411066,291.1703737,154.7417547,190.017639,,113.0587727,163.4615682,194.7421756,140.811842,,171.9843994,,184.4809995,168.99183,,175.3740291,209.593451,208.4035581,161.5161776,192.3074413,132.6364019,83.66775288,18.64481403,,
2022/10/15,,279.0836678,217.7059834,,,,,,,,1080.203638,298.2830822,,372.967131,192.9465055,471.0873979,177.1226389,181.1611721,,122.5399239,250.3578304,303.3303189,208.9247235,,213.3226425,,139.5573553,171.6777997,,184.0921321,232.4264884,239.1056731,193.2249368,214.8535012,128.4921983,,18.46009867,,
2022/10/16,,192.5615405,202.511062,,,,,,,,1082.227208,249.829102,,274.6376283,181.4210642,242.2952166,217.8430261,179.2278579,,144.2504781,154.5964843,203.4741061,211.5504954,,188.664763,,33.53222531,141.5437477,,153.6453527,321.4882877,236.5197308,155.7515495,182.6200326,147.8944484,,18.63947049,,
2022/10/17,147.7724427,19.13212386,111.0906585,,,,111.5391813,,92.58439167,,543.3013702,76.82895476,,83.03178261,63.37488462,82.48917481,141.1215833,92.00803832,,101.3540499,38.9390274,37.13152398,67.33558716,,91.89067015,84.96589512,214.0914377,48.82984441,,85.52803915,212.2091774,112.2248374,33.55004279,63.27501835,111.4352192,,17.93588244,,
