device 70,device 81,device 83,device 89,device 96,device 99
379.1938348,412.4096305,212.9321005,193.3682163,267.7523536,216.605911
303.5013917,222.9873748,179.8758035,187.9950285,96.5175485,218.5935228
346.3146413,318.00459,165.9015528,183.8742628,177.8382555,226.2043526
302.2376935,246.7975173,157.40359,190.299705,48.54556725,204.1995228
304.1987495,233.289189,159.2936343,199.205318,22.45254425,190.1059257
335.6705173,213.428541,157.3689294,225.895366,15.87574725,189.7797142
382.1788943,398.564141,233.7412328,316.816751,133.5316763,192.7272384
371.0743696,236.6916878,242.5523863,361.5348608,51.62567,476.642228
341.5033662,221.9113448,255.0636603,275.676748,105.3764708,320.3526225
360.9249795,242.8732675,402.5704025,323.8661385,167.5088263,642.5111805
431.5592623,323.3051998,628.7775998,357.3007305,284.8295818,616.902221
346.3317205,198.1844645,368.9787636,311.667681,160.8965743,399.3078588
349.773056,254.9665205,429.7905313,356.609841,193.5887173,421.6844723
378.7972798,216.9492298,391.149303,262.133713,161.110964,485.4656018
311.6840488,153.9577705,284.8780785,218.7633455,120.225234,338.3802653
679.0410208,136.2766518,170.1014713,170.525012,110.6384143,289.8786263
342.1521218,160.092382,261.2931563,433.388128,136.709792,381.9416138
392.9593023,305.4739198,361.7412598,993.4863585,331.652719,975.7254278
410.2306762,299.5095805,366.395609,795.7256228,372.9612345,723.213325
400.2506083,146.82591,218.242908,361.254736,168.1528755,336.6375725
506.0424073,134.4236893,223.7372223,292.2854275,127.5922637,305.7801538
479.6213633,135.1326644,172.7340575,221.2832188,120.7712306,220.2374855
520.3050265,153.712234,156.354286,198.602474,124.424997,262.597491
333.024014,176.3119788,154.7262963,249.2026325,116.0205753,205.6146287
342.0211896,164.8752635,179.3651853,295.609683,110.8022577,321.8892344
303.0135075,171.143877,187.9871713,290.94092,83.0526732,319.7536598
301.2688268,189.7903295,191.3292015,242.2978935,74.867785,274.3119025
297.3723213,195.652923,205.748612,228.2646043,73.760438,314.9356283
306.2679345,185.88361,197.9101918,255.529297,80.82993375,394.4718396
282.2385895,177.714424,199.0705637,196.359372,70.8054535,260.8031133
297.7276555,164.1077535,150.6636374,185.280963,75.0741305,248.5681677
298.1755795,221.7877688,221.4291515,200.0349895,146.17598,247.629101
318.1045535,225.52915,230.0190313,249.4795195,186.0519053,374.9637095
